dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
METABRIC,MAR,0.3,KNN,corr_frobenius_rel,10,0.126318218209496,0.0054171734626692536,0.12466107441206033,0.0048964293470291215,0.12244300576213454,0.13019343065685748
METABRIC,MAR,0.3,MissForest,corr_frobenius_rel,10,0.1254430631605395,0.0044357049166174264,0.1253110519011031,0.005236088956585172,0.12226995101558918,0.1286161753054898
METABRIC,MAR,0.05,Mean,corr_mae_offdiag,10,0.027580384707503132,0.0007968301399135435,0.02755247954111431,0.0009263082801176936,0.02701036676403041,0.028150402650975855
METABRIC,MAR,0.05,KNN,corr_mae_offdiag,10,0.01136500604115871,0.00043811737206842974,0.011446451924125679,0.0004234805783326339,0.01105159575342384,0.011678416328893581
METABRIC,MAR,0.05,MissForest,corr_mae_offdiag,10,0.010608026961467338,0.00043222518959740316,0.0105408382969162,0.0002430369979648135,0.010298831687154356,0.01091722223578032
METABRIC,MAR,0.1,Mean,corr_mae_offdiag,10,0.04841559367072491,0.0008370632331202163,0.04832551279200452,0.001041782001012577,0.04781679470617824,0.04901439263527159
METABRIC,MAR,0.1,KNN,corr_mae_offdiag,10,0.01780912281298231,0.0005348134086443495,0.01793209475292526,0.0007314943606588596,0.017426540347702864,0.018191705278261756
METABRIC,MAR,0.1,MissForest,corr_mae_offdiag,10,0.017031442839746527,0.000585532851854088,0.016928834284543247,0.0008082309609478491,0.016612577870500005,0.017450307808993048
METABRIC,MAR,0.2,Mean,corr_mae_offdiag,10,0.08504977903991903,0.0012165556880385812,0.08499696460342177,0.0020452854851757546,0.08417950752698274,0.08592005055285533
METABRIC,MAR,0.2,KNN,corr_mae_offdiag,10,0.029349108466979957,0.001200277629478714,0.02942037823428758,0.0020134746998323877,0.02849048157565026,0.030207735358309652
